ক্রম	নির্বাচনী এলাকার নম্বর ও নাম	প্রতিদ্ন্্বী প্রার্থী	রাজনৈতিক দল	প্রতীক	মন্তব্য
৪৯৩	৮১ বিনাইদহ-১	মনিকা আলম	- জাতীয় পাটি	লাঙ্গল	
৪৯৪	৮১ বিনাইদহ-১	নজরুল ইসলাম	স্বতন্ত্র	ট্রাক	
৪৯৫	৮১ বিনাইদহ-১	কে, এ, জাহাঙ্গীর মাজমাদার	ভূণমূল বিএনপি	সোনালী আশি	
৪৯৬	৮১ বিনাইদহ-১	স্কুনিয়া আফরিন	স্বতন্ত্র	ফুল কপি	
৪৯৭	৮১ বিনাইদহ-১	মোঃ আনিছুর রহমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৪৯৮	৮২ বিনাইদহ-২	তাহজীব আলম সিদ্দিকী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৪৯৯	৮২ বিনাইদহ-২	মোঃ নাসের শাহরিয়ার জাহেদী	স্বতন্ত্র	ঈগল	
৫০০	৮২ বিনাইদহ-২	মেঃ ফজলুল কবির	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৫০১	৮২ বিনাইদহ-২	মোঃ নাসির উদ্দীন	বাংলাদেশ কংগ্রেস	ডাৰ	
৫০৯	৮২ বিনাইদহ-২	মোঃ মাহফুজ্জুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৫০৩	৮২ বিনাইদহ-২	মোঃ জামরুল ইসলাম	ভূণমূল বিএনপি	সোনালী আশী	
৫০৪	৮২ বিনাইদহ-২	মোঃ নজরুল ইসলাম	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৫০৫	৮২ বিনাইদহ-২	শরীফ মোহাম্মদ বদরুল হায়দার	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৫০৬	৮২ বিনাইদহ-২	মোঃ মিজানুর রহমান মিজু)	- ন্যাশনাল পিপলসূ পাটি	আম	
৫০৭	৮২ বিনাইদহ-২	মোঃ আব্দুল হান্নান খী	- বাংলাদেশ কল্যাণ পাটি	হাতঘড়ি	
৫০৮	৮২ বিনাইদহ-২	খোন্দকার হাফিজুর রহমান ফারুক	- বাংলাদেশ ন্যাশনাল আওয়ামী পাটি [ন্যোপ)	কুঁড়ে ঘর	
৫০৯	৮৩ বিনাইদহ-৩	মোঃ শফিকুল আজম খীন	স্বতন্ত্র	ট্রাক	
৫১০	৮৩ বিনাইদহ-৩	মোঃ আব্দুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৫৯৯	৮৩ বিনাইদহ-৩	মোঃ নবী নেওয়াজ	স্বতন্ত্র	ঈগল	
৫৯২	৮৩ বিনাইদহ-৩	মোঃ সালাহ উদ্দিন মিয়াজী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৯৩	৮৪ বিনাইদহ-৪	মোঃ আনোয়ারুল আজিম (আনার)	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫১৪	৮৪ বিনাইদহ-৪	মোঃ আব্দুর রশিদ খোকন	স্বতন্ত্র	ট্রাক	
৫৯৫	৮৪ বিনাইদহ-৪	এমদাদুল ইসলাম বোচ্ছু)	- জাতীয় পাটি	লাঙ্গল	
৫১৬	৮৪ বিনাইদহ-৪	মোঃ নজরুল ইসলাম	স্বতন্ত্র	ঈগল	
৫১৭	৮৪ বিনাইদহ-৪	নুর উদ্দীন আহমেদ	ভূণমূল বিএনপি	সোনালী আশি	
৫১৮	৮৫ যশোর-১	শেখ আফিল উদ্দিন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৯৯	৮৫ যশোর-১	মোঃ আশরাফুল আলম	স্বতন্ত্র	ট্রাক	
৫২০	৮৫ যশোর-১	মোঃ আক্তারুজ্জামান	- জাতীয় পাটি	লাঙ্গল	
৫২১	৮৬ যশোর-২	মোঃ মনিরুল ইসলাম	স্বতন্ত্র	ট্রাক	
৫২২	৮৬ যশোর-২	মোঃ তোহিদুজজামান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫২৩	৮৬ যশোর-২	মোঃ আব্দুল আওয়াল	বাংলাদেশ কংগ্রেস	ডাৰ	
৫২৪	৮৬ যশোর-২	এস, এম হাবিবুর রহমান	স্বতন্ত্র	ঈগল	
৫২৫	৮৬ যশোর-২	মোঃ ফিরোজ শাহ	- জাতীয় পাটি	লাঙ্গল	
৫২৬	৮৬ যশোর-২	মোঃ শামছুল হক	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৭ ৫৯৭	৮৭ যশোর-৩	মোঃ মারুফ হাসান (কাজল)	বিকল্প ধারা বাংলাদেশ	কুলা	
৫২৮	৮৭ যশোর-৩	কাজী নাবিল আহমেদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫২৯	৮৭ যশোর-৩	মোঃ তোহিদুজ্জামান	বাংলাদেশ খেলাফত আন্দোলন	বটগাছ	
৫৩০	৮৭ যশোর-৩	মোঃ মাহবুব আলম	- জাতীয় পাটি	লাঙ্গল	
৫৩৯	৮৭ যশোর-৩	মোঃ কামরুজ্জামান	ভূণমূল বিএনপি	সোনালী আশি	
৫৩২	৮৭ যশোর-৩	মহিত কুমার নাথ	স্বতন্ত্র	ঈগল	
৫৩৩	৮৭ যশোর-৩	শেখ নুরুজ্জামান	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৫৩৪	৮৭ যশোর-৩	সুমন কুমার রায়	- ন্যাশনাল পিপলসূ পাটি	আম	
৫৩৫	৮৮ যশোর-৪	এম শাব্বির আহমেদ	ভূণমূল বিএনপি	সোনালী আশি	
৫৩৬	৮৮ যশোর-৪	সুকৃতি কুমার মন্ডল	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৫৩৭	৮৮ যশোর-৪	মোঃ ইউনুছ আলী	ইসলামী এঁক্যজোট	মিনার	
৫৩৮	৮৮ যশোর-৪	রনজিত কুমার রায়	স্বতন্ত্র	ঈগল	
৫৩৯	৮৮ যশোর-৪	মোঃ জহরুল হক	- জাতীয় পাটি	লাঙ্গল	
৫৪০	৮৯ যশোর-৫	হাফেজ মাওলানা নুরুল্লাহ্‌ আব্বাসী	ইসলামী এঁক্যজোট	মিনার	
৫৪১৯	৮৯ যশোর-৫	মোঃ ইয়াকুব আলী	স্বতন্ত্র	ঈগল	
৫৪২	৮৯ যশোর-৫	স্বপন ভট্টাচার্য্য	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৪৩	৮৯ যশোর-৫	আবু নসর মোহাম্মদ মোস্তফা	ভূণমূল বিএনপি	সোনালী আশি	
৫৪৪	৮৯ যশোর-৫	এম, এ হালিম	- জাতীয় পাটি	লাঙ্গল	
৫৪৫	৯০ যশোর-৬	জি, এম, হাসান	- জাতীয় পাটি	লাঙ্গল	
৫৪৬	৯০ যশোর-৬	মোঃ আজিজুল ইসলাম	স্বতন্ত্র	ঈগল	
৫৪৭	৯০ যশোর-৬	মোঃ শাহীন চাকলাদার	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৪৮	৯০ যশোর-৬	এইচ, এম, আমির হোসেন	স্বতন্ত্র	কীচি	
৫৪৯	৯১ মাথুরা-১	গ্যাডভোকেট কাজী রেজাউল হোসেন	বাংলাদেশ কংগ্রেস	ভাৰ	
৫৫০	৯১ মাগুরা-১	মোঃ সিরাজুস সায়েফিন সাঈফ	- জাতীয় পাটি	লাঙ্গল	
৫৫১	৯১ মাগুরা-১	সাকিব আল হাসান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৫২	৯১ মাগুরা-১	কে. এম. মোতাসিম বিল্লা	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৫৫৩	৯১ মাথুরা-১	সনজয় কুমার রায় (রনি)	ভূণমূল বিএনপি	সোনালী আশি	
৫৫৪	৯২ মাগুরা-২	গ্যাডভোকেট কাজী রেজাউল হোসেন	বাংলাদেশ কংগ্রেস	ভাৰ	
৫৫৫	৯২ মাগুরা-২	ভ. শ্রী বীরেন শিকদার	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৫৬	৯২ মাগুরা-২	মোঃ আসাদুজ্জামান	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৫৫৭	৯২ মাগুরা-২	মোঃ মুরাদ আলী	- জাতীয় পাটি	লাঙ্গল	
৫৫৮	৯২ মাগুরা-২	মোঃ আখিদুল ইসলাম	ভূণমূল বিএনপি	সোনালী আশি	
৫৫৯	৯৩ নড়াইল-১	মোঃ নজরুল ইসলাম	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৫৬০	৯৩ নড়াইল-১	মোঃ মিল্টন মোল্যা	- জাতীয় পাটি	লাঙ্গল	
৫৬৯	৯৩ নড়াইল-১	বি, এম কবিরুল হক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৬২	৯৩ নড়াইল-১	শ্যামল চৌধুরী	ভূণমূল বিএনপি	সোনালী আশি	
৫৬৩	৯৩ নড়াইল-১	চন্দনা হক	স্বতন্ত্র	ঈগল	
৫৬৪	৯৩ নড়াইল-১	শামিম আরা পারভীন হেয়াসমীন)	- জাতীয় পাটি-জেপি	বাইসাইকেল	
৫৬৫	৯৪ নড়াইল-২	মোঃ মনিরুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৫৬৬	৯৪ নড়াইল-২	মাশরাক্ষী বিন মোর্তজা	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৬৭	৯৪ নড়াইল-২	খন্দকার ফায়েকুজ্জামান	- জাতীয় পাটি	লাঙ্গল	
৫৬৮	৯৪ নড়াইল-২	মো: লতিফুর রহমান	গণক্ন্ট	মাছ	
৫৬৯	৯৪ নড়াইল-২	শেখ হাফিজুর রহমান	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৫৭০	৯৪ নড়াইল-২	মো: মাহবুবুর রহমান	ইসলামী এঁক্যজোট	মিনার	
৫৭১	৯৫ বাগেরহাট-১	শেখ হেলাল উদ্দীন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৭ ৫৭৯	৯৫ বাগেরহাট-১	বাসুদেৰ গুহ	- ন্যাশনাল পিপলসূ পাটি	আম	
৫৭৩	৯৫ বাগেরহাট-১	মোঃ মাহফুজ্জুর রহমান	ভূণমূল বিএনপি	সোনালী আশি	
৫৭৪	৯৫ বাগেরহাট-১	মোঃ মঞ্জুর হোসেন শিকদার	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৫৭৫	৯৫ বাগেরহাট-১	মোঃ কামরুজ্জামান	- জাতীয় পাটি	লাঙ্গল	
৫৭৬	৯৫ বাগেরহাট-১	এইচ, এম আতাউর রহমান	বাংলাদেশ কংগ্রেস	ডাৰ	
৫৭৭	৯৬ বাগেরহাট-২	শেখ তন্ময়	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৭৮	৯৬ বাগেরহাট-২	মরিয়ম সুলতানা	ভূণমূল বিএনপি	সোনালী আশি	
৫৭৯	৯৬ বাগেরহাট-২	হাজরা সহিদুল ইসলাম	- জাতীয় পাটি	লাঙ্গল	
৫৮০	৯৬ বাগেরহাট-২	এস এম আজমল হোসেন	স্বতন্ত্র	ঈগল	
৫৮১৯	৯৬ বাগেরহাট-২	খীন আরিফুর রহমান	- জাকের পাটি	গোলাপ ফুল	
৫৮৯	৯৬ বাগেরহাট-২	সোলায়মান শিকদার	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৫৮৩	৯৭ বাগেরহাট-৩	হাবিবুন নাহার	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৮৪	৯৭ বাগেরহাট-৩	মোঃ মনিরুজ্জামান মনির	- জাতীয় পাটি	লাঙ্গল	
৫৮৫	৯৭ বাগেরহাট-৩	শেখ নুরুজ্জামান মাসুম	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৫৮৬	৯৭ বাগেরহাট-৩	সুরত মন্ডল	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৫৮৭	৯৭ বাগেরহাট-৩	মফিজুল ইসলাম গাজী	বাংলাদেশ কংগ্রেস	ডাৰ	
৫৮৮	৯৭ বাগেরহাট-৩	মি. ম্যানুয়েল সরকার	ভূণমূল বিএনপি	সোনালী আশি	
৫৮৯	৯৭ বাগেরহাট-৩	মোঃ ইদ্রিস আলী	স্বতন্ত্র	ঈগল	
৫৯০	৯৮ বাগেরহাট-৪	এইচ, এম, বদিউজ্জামান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৯১	৯৮ বাগেরহাট-৪	মোহাম্মদ লোকমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৫৯২	৯৮ বাগেরহাট-৪	মুহাম্মদ বদরুজ্জামান	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৫৯৩	৯৮ বাগেরহাট-৪	মোঃ জামিল হোসাইন	স্বতন্ত্র	ঈগল	
৫৯৪	৯৮ বাগেরহাট-৪	সাজন কুমার মিশ্তী	- জাতীয় পাটি	লাঙ্গল	
৫৯৫	৯৮ বাগেরহাট-৪	মোঃ রেজাউল ইসলাম রাজু	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৫৯৬	৯৮ বাগেরহাট-৪	লুৎফুন নাহার রিক্তা	ভূণমূল বিএনপি	সোনালী আশি	
৫৯৭	৯৯ খুলনা-১	ননী গোপাল মণ্ডল	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৫৯৮	৯৯ খুলনা-১	প্রশান্ত কুমার রায়	স্বতন্ত্র	ঈগল	
৫৯৯	৯৯ খুলনা-১	কাজী হাসানুর রশিদ	- জাতীয় পাটি	লাঙ্গল	
৬০০	৯৯ খুলনা-১	গোবিন্দ চন্দ্র প্রামাণিক	ভূণমূল বিএনপি	সোনালী আশি	
৬০১	১০০ খুলনা-২	সেখ সালাহউদ্দিন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬০২	১০০ খুলনা-২	দেবদাস সরকার	বাংলাদেশ কংগ্রেস	ডাৰ	
৬০৩	১০০ খুলনা-২	মোঃ গাউসুল আজম	- জাতীয় পাটি	লাঙ্গল	
৬০৪	১০০ খুলনা-২	বাবু কুমার রায়	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৬০৫	১০০ খুলনা-২	৭ মোঃ আব্দুল্লাহ আল-আমিন	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৬০৬	১০০ খুলনা-২	মোঃ সাঈদুর রহমান	স্বতন্ত্র	ঈগল	
৬০৭	১০১ খুলনা-৩	এস এম কামাল হোসেন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬০৮	১০১ খুলনা-৩	এস, এম, সাব্বির হোসেন	- জাকের পাটি	গোলাপ ফুল	
৬০৯	৭ ১০১ খুলনা-৩	ফাতেমা জামান সাথী	স্বতন্ত্র	ঈগল	
৬১০	১০১ খুলনা-৩	মোঃ আব্দুল্লাহ আল মামুন	- জাতীয় পাটি	লাঙ্গল	
৬৯৯	১০২ খুলনা-৪	মোঃ জুয়েল রানা	স্বতন্ত্র	ট্রাক	
৬৯২	১০২ খুলনা-৪	আব্দুস সালাম মৃর্শেদী	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৯৩	১০২ খুলনা-৪	এম, ডি, এহসানুল হক	স্বতন্ত্র	সোফা	
৬১৪	১০২ খুলনা-৪	এস এম আজমল হোসেন	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৬৯৫	১০২ খুলনা-৪	মোঃ ফরহাদ আহমেদ	- জাতীয় পাটি	লাঙ্গল	
৬৯৬	১০২ খুলনা-৪	মোঃ মোস্তাফিজুর রহমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৬১৭	১০২ খুলনা-৪	শেখ হাবিবুর রহমান	ভূণমূল বিএনপি	সোনালী আশি	
৬৯৮	১০২ খুলনা-৪	মোঃ রেজভী আলম	স্বতন্ত্র	ঈগল	
৬৯৯	১০২ খুলনা-৪	মনিরা সুলতানা	বাংলাদেশ কংগ্রেস	ডাৰ	
৬২০	১০২ খুলনা-৪	রিয়াজ উদ্দীন খান	ইসলামী এঁক্যজোট	মিনার	
৬২১৯	১০৩ খুলনা-৫	মোঃ শাহীদ আলম	- জাতীয় পাটি	লাঙ্গল	
৬২২	১০৩ খুলনা-৫	নারায়ন চন্দ্র চন্দ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬২৩	১০৩ খুলনা-৫	শেখ সেলিম আকতার	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৬২৪	১০৪ খুলনা-৬	মোঃ রশীদুজ্জামান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬২৫	১০৪ খুলনা-৬	মোঃ আবু সুফিয়ান	- ন্যাশনাল পিপলসূ পাটি	আম	
৬২৬	১০৪ খুলনা-৬	মোঃ শফিকুল ইসলাম মধু	- জাতীয় পাটি	লাঙ্গল	
৬২৭	১০৪ খুলনা-৬	মির্জা গোলাম আজম	বাংলাদেশ কংগ্রেস	ডাৰ	
৬২৮	১০৪ খুলনা-৬	এস এম নেওয়াজ মোরশেদ	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৬২৯	১০৪ খুলনা-৬	মোঃ নাদির উদ্দিন খান	ভূণমূল বিএনপি	সোনালী আশি	
৬৩০	১০৪ খুলনা-৬	জি এম মাহবুবুল আলম	স্বতন্ত্র	ঈগল	
৬৩১	১০৫ সাতক্ষীরা-১	ফিরোজ আহম্মেদ স্বপন	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৩২	১০৫ সাতক্ষীরা-১	সুস্তফা লুৎফুল্লাহ	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৬তত	১০৫ সাতক্ষীরা-১	মোঃ ইয়ারুল ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৬৩৪	১০৫ সাতক্ষীরা-১	শেখ মুজিবুর রহমান	স্বতন্ত্র	কীচি	
৬ত€	১০৫ সাতক্ষীরা-১	শেখ নুরুল ইসলাম	স্বতন্ত্র	ট্রাক	
৬৩৬	১০৫ সাতক্ষীরা-১	এস, এম মুজিবর রহমান	স্বতন্ত্র	দোলনা	
৬৩৭	১০৫ সাতক্ষীরা-১	শেখ মোঃ আলমগীর	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৬৩৮	১০৫ সাতক্ষীরা-১	মোঃ নুরুল ইসলাম	স্বতন্ত্র	ঈগল	
৬৩৯	১০৫ সাতক্ষীরা-১	সুমি	ভূণমূল বিএনপি	সোনালী আশি	
৬৪০	১০৫ সাতক্ষীরা-১	সৈয়দ দীদার বখত্‌	- জাতীয় পাটি	লাঙ্গল	
৬৪৯	১০৬ সাতক্ষীরা-২	মীর মোস্তাক আহমেদ রবি	স্বতন্ত্র	ঈগল	
৬৪২	১০৬ সাতক্ষীরা-২	মোঃ আনোয়ার হোসেন	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৪৩	১০৬ সাতক্ষীরা-২	মোঃ আফসার আলী	স্বতন্ত্র	ট্রাক	
৬৪৪	১০৬ সাতক্ষীরা-২	মোঃ আশরাফুজ্জামান	- জাতীয় পাটি	লাঙ্গল	
৬৪৫	১০৬ সাতক্ষীরা-২	মোঃ কামরুজ্জামান (বুলু)	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৬৪৬	১০৬ সাতক্ষীরা-২	মোস্তফা ফারহান মেহেদী	ভূণমূল বিএনপি	সোনালী আশি	
৬৪৭	১০৬ সাতক্ষীরা-২	এনছান বাহার বুলবুল	স্বতন্ত্র	কীচি	
৬৪৮	১০৭ সাতক্ষীরা-৩	আ, ফ, ম রুহুল হক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৪৯	১০৭ সাতক্ষীরা-৩	শেখ তারিকুল ইসলাম	বাংলাদেশের সাম্যবাদী দল (এম.এল)	চাকা	
৬৫০	১০৭ সাতক্ষীরা-৩	মোঃ আব্দুল হামিদ	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৫৯	১০৭ সাতক্ষীরা-৩	মোঃ মঞ্তুর হাসান	- জাকের পাটি	গোলাপ ফুল	
৬৫২	১০৭ সাতক্ষীরা-৩	বুবেল হোসেন	ভূণমূল বিএনপি	সোনালী আশি	
৬৫৩	১০৭ সাতক্ষীরা-৩	মোঃ আলিপ হোসেন	- জাতীয় পাটি	লাঙ্গল	
৬৫৪	১০৮ সাতক্ষীরা-৪	আসলাম আল মেহেদী	ভূণমূল বিএনপি	সোনালী আশি	
৬৫৫	১০৮ সাতক্ষীরা-৪	মোঃ শফিকুল ইসলাম	বাংলাদেশ কংগ্রেস	ডাৰ	
৬৫৬	১০৮ সাতক্ষীরা-৪	এস্‌, এম, আতাউল হক	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৫৭	১০৮ সাতক্ষীরা-৪	এইচ, এম গোলাম রেজা	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৬৫৮	১০৮ সাতক্ষীরা-৪	মোঃ মিজানুর রহমান	স্বতন্ত্র	কীচি	
৬৫৯	১০৮ সাতক্ষীরা-৪	শেখ ইকরামুল	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৬০	১০৮ সাতক্ষীরা-৪	মোঃ মাহবুবুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৬৬১	১০৯ বরগুনা-১	মাহবুবুর রহমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৬২	১০৯ বরগুনা-১	মোঃ মাসুদ কামাল	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গর	
৬৬ত	১০৯ বরগুনা-১	ধ্বীরেন্দ্র দেবনাথ শমভু	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৬৪	১০৯ বরগুনা-১	গোলাম সারোয়ার টুকু	স্বতন্ত্র	ঈগল	
৬৬৫	১০৯ বরগুনা-১	মোঃ খলিলুর রহমান	স্বতন্ত্র	ট্রাক	
৬৬৬	১০৯ বরগুনা-১	মোঃ খলিলুর রহমান	- জাতীয় পাটি	লাঙ্গল	
৬৬৭	১০৯ বরগুনা-১	মোঃ ইউনুস সোহাগ	ভূণমূল বিএনপি	সোনালী আশি	
৬৬৮	১০৯ বরগুনা-১	শাহ মোঃ আবুল কালাম	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
৬৬৯	১০৯ বরগুনা-১	মোহাম্মদ নুরুল ইসলাম	স্বতন্ত্র	কেটলি	
৬৭০	১০৯ বরগুনা-১	গোলাম সারোয়ার ফোরকান	স্বতন্ত্র	কীচি	
৬৭১	১১০ বরগুনা-২	মোহাম্মদ আবু বন্ধর সিদ্দিক	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৬৭২৯	১১০ বরগুনা-২	মোঃ কামরুজ্জামান লিটন	ভূণমূল বিএনপি	সোনালী আশি	
৬৭৩	১১০ বরগুনা-২	মোঃ মিজানুর রহমান	বাংলাদেশ কংগ্রেস	ডাৰ	
৬৭৪	১১০ বরগুনা-২	ডঃ আব্দুর রহমান	বাংলাদেশ জাতীয়তাবাদী আন্দোলন	নোঙ্গার	
৬৭৫	১১০ বরগুনা-২	শাহ মোঃ আবুল কালাম	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
৬৭৬	১১০ বরগুনা-২	সুলতানা নাদিরা	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৭৭	১১০ বরগুনা-২	মোঃ জাকির হোসেন	্স পার্টি ৩৭৭৩৭৭ বাংলাদেশের ওয়ার্কা	হাতুড়ী	
৬৭৮	১১১ পটুয়াখালী-১	মোঃ খলিল	বাংলাদেশ তরিকত ফেডারেশন	ফুলের মালা	
৬৭৯	১১১ পটুয়াখালী-১	এ, বি, এম রুহুল আমিন হাওলাদার	- জাতীয় পাটি	লাঙ্গল	
৬৮০	১১১ পটুয়াখালী-১	মোঃ নজরুল ইসলাম	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৮১	১১১ পটুয়াখালী-১	কে, এম, আনোয়ারুজ্জামান মিয়া	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৬	১১১ পটুয়াখালী-১	মোঃ নাসির উদ্দিন তালুকদার	বাংলাদেশ কংগ্রেস	ডাৰ	
৬৮ত	১১১ পটুয়াখালী-১	মহিউদ্দীন মামুন	বাংলাদেশ সাংস্কৃতিক মুক্তিজোট	ছড়ি	
৬৮৪	১১২ পটুয়াখালী-২	আ, স, ম, ফিরোজ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৮৫	১১২ পটুয়াখালী-২	মোঃ জোবায়ের হোসেন	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৬৮৬	১১২ পটুয়াখালী-২	মোঃ মহসীন হাওলাদার	- জাতীয় পাটি	লাঙ্গল	
৬৮৭	১১২ পটুয়াখালী-২	মাহবুবুল আলম	ভূণমূল বিএনপি	সোনালী আশি	
৬৮৮	১১৩ পটুয়াখালী-৩	মোঃ ছাইফুর রহমান	- ন্যাশনাল পিপলসূ পাটি	আম	
৬৮৯	১১৩ পটুয়াখালী-৩	এস, এম, শাহজাদা	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৯০	১১৩ পটুয়াখালী-৩	এ ওয়াই এম কামরুল ইসলাম	বাংলাদেশ ন্যাশনালিষ্ট ফ্রন্ট-বিএনএফ	টেলিভিশন	
৬৯১	১১৩ পটুয়াখালী-৩	মোঃ নজরুল ইসলাম	- জাতীয় পাটি	লাঙ্গল	
৬৯২	১১৩ পটুয়াখালী-৩	আবুল হোসেন	স্বতন্ত্র	ঈগল	
৬৯৩	১১৩ পটুয়াখালী-৩	মোঃ নুরে আলম	- বাংলাদেশ সুপ্রিম পাটি	একতারা	
৬৯৪	১১৪ পটুয়াখালী-৪	আব্দুল্লাহ আল ইসলাম লিটন	স্বতন্ত্র	ট্রাক	
৬৯৫	১১৪ পটুয়াখালী-৪	মোঃ মহিববুর রহমান	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৬৯৬	১১৪ পটুয়াখালী-৪	আঃ মন্নান হাওলাদার	- জাতীয় পাটি	লাঙ্গল	
৬৯৭	১১৪ পটুয়াখালী-৪	মোঃ মাহবুবুর রহমান	স্বতন্ত্র	ঈগল	
৬৯৮	১১৪ পটুয়াখালী-৪	বিশ্বাস শিহাব পারভেজ মিঠু	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৬৯৯	১১৪ পটুয়াখালী-৪	জাহাঙ্গীর হোসাইন	বাংলাদেশ কংগ্রেস	ডাৰ	
৭০০	১১৫ ভোলা-১	তোফায়েল আহমেদ	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৭০১	১১৫ ভোলা-১	মোঃ শাহজাহান মিয়া	- জাতীয় পাটি	লাঙ্গল	
৭০২	১১৫ ভোলা-১	মোঃ সিদ্দিকুর রহমান	জাতীয় সমাজতান্ত্রিক দল - জাসদ	মশাল	
৭০৩	১১৬ ভোলা-২	আলী আজম	বাংলাদেশ আওয়ামী লীগ	নৌকা	
৭০৪	১১৬ ভোলা-২	মোঃ গজনবী	- জাতীয় পাটি-জেপি	বাইসাইকেল	
৭০৫	১১৬ ভোলা-২	মোঃ আসাদুজ্জামান	বাংলাদেশ কংগ্রেস	ডাৰ	
